devid,mytime,pointcloud,trackedobj,pointcloudassociatedid
1,2022-11-13 21:42:14.560,"{""pointCloud"": [[0.19347718825758783, 1.0399679765588057, 0.9365769249494189, 1.5478174686431885, 0.14808283746242523, -0.5600752830505371, -0.1471865475177765], [0.2022716153882174, 1.087239299190692, 0.8882394603274337, 1.6181728839874268, 0.14808283746242523, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[0.12281271070241928, 0.9413899235285972, 1.0481924853489273, 0.6533069610595703, -0.11544336378574371, -0.08637921512126923, 0.9791393876075744, 0.30283692479133606, 0.0]]}","{""pointCloudAssociatedID"": [8, 8]}"
1,2022-11-13 21:42:14.660,"{""pointCloud"": [[0.043972087363357074, 0.994208229895946, 1.0630995220358894, 1.407106876373291, 0.03609222546219826, -0.5235987901687622, 0.0], [0.04177348076001517, 0.9444977678638973, 1.1099445935582986, 1.3367514610290527, 0.03609222546219826, -0.5235987901687622, 0.1471865475177765], [0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, 0.1471865475177765], [0.09234138520472024, 0.9614645744569376, 0.9484003272731496, 1.4774621725082395, 0.07566507160663605, -0.5974063873291016, 0.1471865475177765], [0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[0.08126530051231384, 0.9291101138117857, 1.0189062104750861, 0.1397910118103027, -0.05398920178413391, -0.1895906627178192, 0.9718480110168456, 0.2683528661727905, 0.0]]}","{""pointCloudAssociatedID"": [8, 8, 8, 8, 8]}"
1,2022-11-13 21:42:14.760,"{""pointCloud"": [[0.0, 0.9783826826489225, 1.1415246505241368, 1.3367514610290527, 0.0, -0.4878751337528229, 0.1471865475177765], [0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, 0.1471865475177765], [0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[0.05392557010054588, 0.9396566658832549, 1.0183019513838483, -0.18535250425338745, 0.03556195646524429, -0.1036086529493332, 0.9646295309066772, 0.2630857825279236, 0.0]]}","{""pointCloudAssociatedID"": [8, 8, 8]}"
1,2022-11-13 21:42:14.960,"{""pointCloud"": [[0.0, 0.9188958922063546, 0.9976442849408531, 1.407106876373291, 0.0, -0.5974063873291016, 0.1471865475177765], [0.043972091574816456, 0.9180929263428157, 0.9978521077989042, 1.407106876373291, 0.037805452942848206, -0.5974063873291016, -0.1471865475177765]]}","{""trackedObj"": [[0.02513722702860832, 0.9333424599527798, 1.0015830852585317, -0.3600796163082123, 0.04129564017057419, -0.12957054376602173, 0.9574832320213318, 0.2652115225791931, 0.0]]}","{""pointCloudAssociatedID"": [8, 8]}"
1,2022-11-13 21:42:24.260,"{""pointCloud"": [[0.0, 0.9845990272375451, 1.2482238479425327, 1.266396164894104, 0.0, -0.4183463752269745, 0.0], [0.0, 0.9188958922063546, 0.9976442849408531, 1.407106876373291, 0.0, -0.5974063873291016, 0.0], [0.0, 1.0059291620490103, 0.9814895032829154, 1.4774621725082395, 0.0, -0.5600752830505371, 0.0], [0.0, 0.9845990272375451, 1.2482238479425327, 1.266396164894104, 0.0, -0.4183463752269745, 0.1471865475177765], [-0.08354696579222771, 1.2591203132726188, 2.400417203792557, 1.3367514610290527, -0.07566507160663605, 0.5974063873291016, 0.1471865475177765], [0.0, 0.9188958922063546, 0.9976442849408531, 1.407106876373291, 0.0, -0.5974063873291016, 0.1471865475177765], [0.0, 0.9648406556773385, 0.947526533155497, 1.4774621725082395, 0.0, -0.5974063873291016, 0.1471865475177765], [0.0, 0.9845990272375451, 1.2482238479425327, 1.266396164894104, 0.0, -0.4183463752269745, 0.294373095035553], [0.0, 0.8774127157379142, 0.9659070814494921, 1.407106876373291, 0.0, -0.6357113122940063, 0.294373095035553], [0.0, 0.9648406556773385, 0.947526533155497, 1.4774621725082395, 0.0, -0.5974063873291016, 0.294373095035553], [0.041773485672494795, 0.9093819443406741, 1.078683192880809, 1.3367514610290527, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765], [0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765], [0.04617069567099176, 1.0051063808757925, 0.981702454720496, 1.4774621725082395, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[0.0033509244676679373, 1.0438921910129824, 1.1409539697401898, 0.00019168747530784455, 0.07116618007421494, -0.03487405553460121, 0.9925000071525574, 2.009002923965454, 0.0]]}","{""pointCloudAssociatedID"": [13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]}"
1,2022-11-13 21:42:24.370,"{""pointCloud"": [[0.0, 0.945226009082287, 1.1097561108615506, 1.3367514610290527, 0.0, -0.5235987901687622, 0.0], [0.0, 0.9949747996405309, 1.0629011191865916, 1.407106876373291, 0.0, -0.5235987901687622, 0.0], [0.046170694663441106, 0.9639975415478331, 0.9477447471494078, 1.4774621725082395, 0.037805452942848206, -0.5974063873291016, 0.0], [0.0, 0.8729510508870361, 1.0477621216452122, 1.3367514610290527, 0.0, -0.5974063873291016, 0.1471865475177765], [0.0, 0.9188958922063546, 0.9976442849408531, 1.407106876373291, 0.0, -0.5974063873291016, 0.1471865475177765], [0.0, 0.9648406556773385, 0.947526533155497, 1.4774621725082395, 0.0, -0.5974063873291016, 0.1471865475177765], [0.0, 0.9845990272375451, 1.2482238479425327, 1.266396164894104, 0.0, -0.4183463752269745, 0.294373095035553], [0.0, 1.093588900495189, 1.2731074019513544, 1.3367514610290527, 0.0, -0.3509073555469513, 0.294373095035553], [0.0439720905816825, 1.2011786313332102, 1.306848102906889, 1.407106876373291, 0.032570239156484604, -0.2850964367389679, 0.294373095035553], [-0.03957487876741138, 0.9839451784191351, 1.248393076469355, 1.266396164894104, -0.03420594707131386, -0.4183463752269745, 0.4415596425533294], [0.0, 1.0392989371518118, 1.2064585336819529, 1.3367514610290527, 0.0, -0.4183463752269745, 0.4415596425533294], [0.0, 1.0939989397490422, 1.1646931486546543, 1.407106876373291, 0.0, -0.4183463752269745, 0.4415596425533294]]}","{""trackedObj"": [[0.004609125666320324, 1.0520225065300282, 1.1299137381534659, 0.01269509270787239, 0.12260452657938004, -0.09944188594818117, 0.9850749969482422, 1.9729955196380615, 0.0]]}","{""pointCloudAssociatedID"": [13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]}"
1,2022-11-13 21:42:24.460,"{""pointCloud"": [[0.04397209106824515, 1.0291250207858584, 1.096536202520658, 1.407106876373291, 0.03538484126329422, -0.4878751337528229, 0.1471865475177765], [0.0923413809690941, 1.1128900958616934, 1.087598328662448, 1.4774621725082395, 0.06956088542938232, -0.4528166055679322, 0.1471865475177765], [0.0, 1.0628510689133315, 1.1302810064258875, 1.407106876373291, 0.0, -0.4528166055679322, 0.294373095035553], [0.04617069413154125, 1.0805812369503984, 1.0513630432630652, 1.4774621725082395, 0.03538484126329422, -0.4878751337528229, 0.294373095035553], [0.0, 1.093588900495189, 1.2731074019513544, 1.3367514610290527, 0.0, -0.3509073555469513, 0.4415596425533294], [0.0, 1.1772829043508675, 1.2705589849744523, 1.407106876373291, 0.0, -0.31782370805740356, 0.4415596425533294], [0.0, 1.0672357280561322, 1.2395780485075987, 1.3367514610290527, 0.0, -0.3843967616558075, 0.588746190071106], [0.0, 1.1234060896428686, 1.199555797704941, 1.407106876373291, 0.0, -0.3843967616558075, 0.588746190071106]]}","{""trackedObj"": [[0.01781434193253517, 1.0757083700309862, 1.1172142303170354, 0.0806933045387268, 0.25446948409080505, -0.11310997605323792, 0.9777242541313172, 1.9920254945755005, 0.0]]}","{""pointCloudAssociatedID"": [13, 13, 13, 13, 13, 13, 13, 13]}"
1,2022-11-13 21:42:24.560,"{""pointCloud"": [[0.0, 0.945226009082287, 1.1097561108615506, 1.3367514610290527, 0.0, -0.5235987901687622, 0.0], [0.0, 0.9949747996405309, 1.0629011191865916, 1.407106876373291, 0.0, -0.5235987901687622, 0.0], [0.0, 1.0447235059050795, 1.0160462069021134, 1.4774621725082395, 0.0, -0.5235987901687622, 0.0], [-0.04836929719483735, 1.132037453114938, 1.0061898840054726, 1.5478174686431885, -0.03538484126329422, -0.4878751337528229, 0.0], [0.0, 0.945226009082287, 1.1097561108615506, 1.3367514610290527, 0.0, -0.5235987901687622, 0.1471865475177765], [0.0, 0.9949747996405309, 1.0629011191865916, 1.407106876373291, 0.0, -0.5235987901687622, 0.1471865475177765], [-0.04617069024140889, 1.0439186076992424, 1.016254529887153, 1.4774621725082395, -0.03609222546219826, -0.5235987901687622, 0.1471865475177765], [-0.04836929719483735, 1.132037453114938, 1.0061898840054726, 1.5478174686431885, -0.03538484126329422, -0.4878751337528229, 0.1471865475177765], [-0.04177348076001517, 0.9444977678638973, 1.1099445935582986, 1.3367514610290527, -0.03609222546219826, -0.5235987901687622, 0.294373095035553], [-0.043972087363357074, 0.994208229895946, 1.0630995220358894, 1.407106876373291, -0.03609222546219826, -0.5235987901687622, 0.294373095035553], [-0.04617069024140889, 1.0439186076992424, 1.016254529887153, 1.4774621725082395, -0.03609222546219826, -0.5235987901687622, 0.294373095035553], [-0.0967385886108548, 1.129554251076783, 1.0068325839857843, 1.5478174686431885, -0.07081408053636551, -0.4878751337528229, 0.294373095035553], [-0.04397208834718824, 1.0932724410482424, 1.1648811803546637, 1.407106876373291, -0.03420594707131386, -0.4183463752269745, 0.4415596425533294], [-0.04617069127443158, 1.147936026052088, 1.1231252676727124, 1.4774621725082395, -0.03420594707131386, -0.4183463752269745, 0.4415596425533294]]}","{""trackedObj"": [[-0.02061227522790432, 1.0678909245455346, 1.0845510701114383, -0.1683732122182846, 0.1662130504846573, -0.19816285371780396, 0.9704470038414, 2.022616386413574, 0.0]]}","{""pointCloudAssociatedID"": [13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]}"
1,2022-11-13 21:42:24.670,"{""pointCloud"": [[0.0, 1.1234060896428686, 1.199555797704941, 1.407106876373291, 0.0, -0.3843967616558075, 0.0], [0.04617069127443158, 1.147936026052088, 1.1231252676727124, 1.4774621725082395, 0.03420594707131386, -0.4183463752269745, 0.0], [0.04836929686122333, 1.1683240223269615, 1.043519348157619, 1.5478174686431885, 0.03475940227508545, -0.4528166055679322, 0.0], [0.10113580461721278, 1.0530326476375829, 0.848247957287616, 1.6181728839874268, 0.07566507160663605, -0.5974063873291016, 0.0], [-0.043972091574816456, 0.9180929263428157, 0.9978521077989042, 1.407106876373291, -0.037805452942848206, -0.5974063873291016, 0.1471865475177765], [0.0, 1.1486988496633086, 1.1229278343940745, 1.4774621725082395, 0.0, -0.4183463752269745, 0.1471865475177765], [0.04836929686122333, 1.1683240223269615, 1.043519348157619, 1.5478174686431885, 0.03475940227508545, -0.4528166055679322, 0.1471865475177765], [0.05056790398342385, 1.1834937564663608, 0.9610166482069438, 1.6181728839874268, 0.03538484126329422, -0.4878751337528229, 0.1471865475177765], [0.043972090483917294, 1.2242697540438545, 1.3433454704649108, 1.407106876373291, 0.032280467450618744, -0.252680242061615, 0.294373095035553], [0.04617069159163366, 1.2079612863992768, 1.1967844858200345, 1.4774621725082395, 0.033284060657024384, -0.3509073555469513, 0.294373095035553], [0.04836929420167493, 1.2025996110559343, 1.0813693549907608, 1.5478174686431885, 0.03420594707131386, -0.4183463752269745, 0.294373095035553], [-0.04397209106824515, 1.0291250207858584, 1.096536202520658, 1.407106876373291, -0.03538484126329422, -0.4878751337528229, -0.1471865475177765], [-0.04617069413154125, 1.0805812369503984, 1.0513630432630652, 1.4774621725082395, -0.03538484126329422, -0.4878751337528229, -0.1471865475177765], [-0.04836929311946071, 1.0936289855025387, 0.9694095377384164, 1.5478174686431885, -0.03609222546219826, -0.5235987901687622, -0.1471865475177765]]}","{""trackedObj"": [[0.0013475194573402405, 1.1048674072041482, 1.1056107908179795, 0.05478508770465851, 0.15786096453666687, -0.026843801140785217, 0.963242530822754, 2.0741772651672363, 0.0]]}","{""pointCloudAssociatedID"": [13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]}"
1,2022-11-13 21:42:24.770,"{""pointCloud"": [[-0.041773485672494795, 0.9093819443406741, 1.078683192880809, 1.3367514610290527, -0.036893926560878754, -0.5600752830505371, 0.0], [-0.043972087363357074, 0.994208229895946, 1.0630995220358894, 1.407106876373291, -0.03609222546219826, -0.5235987901687622, 0.0], [-0.0923413829628214, 1.0415007595323293, 1.0168803150409165, 1.4774621725082395, -0.07223157584667206, -0.5235987901687622, 0.0], [-0.09673858883702038, 1.0910960017829479, 0.9700651221659813, 1.5478174686431885, -0.07223157584667206, -0.5235987901687622, 0.0], [-0.10113580192535387, 1.180897681486585, 0.9616885618542239, 1.6181728839874268, -0.07081408053636551, -0.4878751337528229, 0.0], [0.0, 0.945226009082287, 1.1097561108615506, 1.3367514610290527, 0.0, -0.5235987901687622, -0.294373095035553], [-0.043972087363357074, 0.994208229895946, 1.0630995220358894, 1.407106876373291, -0.03609222546219826, -0.5235987901687622, -0.294373095035553], [-0.04617069024140889, 1.0439186076992424, 1.016254529887153, 1.4774621725082395, -0.03609222546219826, -0.5235987901687622, -0.294373095035553], [-0.04836929311946071, 1.0936289855025387, 0.9694095377384164, 1.5478174686431885, -0.03609222546219826, -0.5235987901687622, -0.294373095035553], [-0.050567899722802616, 1.1433394475345875, 0.9225644662160075, 1.6181728839874268, -0.03609222546219826, -0.5235987901687622, -0.294373095035553], [-0.04177348076001517, 0.9444977678638973, 1.1099445935582986, 1.3367514610290527, -0.03609222546219826, -0.5235987901687622, -0.1471865475177765], [-0.043972087363357074, 0.994208229895946, 1.0630995220358894, 1.407106876373291, -0.03609222546219826, -0.5235987901687622, -0.1471865475177765], [-0.04617069024140889, 1.0439186076992424, 1.016254529887153, 1.4774621725082395, -0.03609222546219826, -0.5235987901687622, -0.1471865475177765], [-0.04836929311946071, 1.0936289855025387, 0.9694095377384164, 1.5478174686431885, -0.03609222546219826, -0.5235987901687622, -0.1471865475177765], [-0.10113580192535387, 1.180897681486585, 0.9616885618542239, 1.6181728839874268, -0.07081408053636551, -0.4878751337528229, -0.1471865475177765]]}","{""trackedObj"": [[-0.04312415421009064, 1.0608683496574762, 1.0663172929445184, -0.2630575895309448, -0.09138749539852142, -0.10121337324380876, 0.956826388835907, 2.0258209705352783, 0.0]]}","{""pointCloudAssociatedID"": [13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]}"
